,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
0,1,Bitcoin,BTC,bitcoin,10520,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19534818.0,19534818.0,False,,1,,,,2023-11-06T13:48:00.000Z,34943.51271870283,13445955562.183321,31.1899,-0.70372479,-0.43738828,0.50850414,25.07826445,35.9794748,18.980004,682615161240.5449,51.4325,733813767092.76,,2023-11-06T13:48:00.000Z,,,,,,2023-11-06 05:48:43.487299
1,1027,Ethereum,ETH,ethereum,7714,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120269157.95539106,120269157.95539106,True,,2,,,,2023-11-06T13:48:00.000Z,1892.0377851149403,8306490219.897641,27.4447,-0.43801607,0.25102216,3.89262793,15.33733336,16.1215484,3.05536596,227553791235.557,17.1453,227553791235.56,,2023-11-06T13:48:00.000Z,,,,,,2023-11-06 05:48:43.487299
2,825,Tether USDt,USDT,tether,65153,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,85392259446.54083,88623656723.66243,True,,3,,,,2023-11-06T13:47:00.000Z,1.0007551646393629,28888477893.184204,27.0534,0.02625803,0.00403145,0.0501229,0.0191221,0.13935325,0.15336465,85456744661.35016,6.4471,88690582175.43,,2023-11-06T13:47:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-11-06 05:48:43.487299
3,52,XRP,XRP,xrp,1133,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53615837759.0,99988316618.0,False,,4,,,,2023-11-06T13:48:00.000Z,0.7112304656696697,2789593545.7453384,89.3244,-0.49636459,10.14012969,23.33817834,36.13471581,42.50329285,13.99479192,38133217256.603035,2.8732,71123046566.97,,2023-11-06T13:48:00.000Z,,,,,,2023-11-06 05:48:43.487299
4,1839,BNB,BNB,bnb,1743,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,151702769.56233537,151702769.56233537,False,,5,,,,2023-11-06T13:47:00.000Z,250.4482633487877,457103524.63173336,30.8485,1.53011859,3.00028551,9.51107329,17.5999475,16.90820249,3.04022825,37993695182.08823,2.8627,37993695182.09,,2023-11-06T13:47:00.000Z,,,,,,2023-11-06 05:48:43.487299
5,3408,USDC,USDC,usd-coin,14795,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,24572401087.46619,24572401087.46619,False,,6,,,,2023-11-06T13:48:00.000Z,1.0003054800474356,3560189212.5547543,36.5001,0.02379201,0.00476533,0.00514138,0.04127872,0.02627102,0.02031028,24579907465.715996,1.8544,24579907465.72,,2023-11-06T13:48:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-11-06 05:48:43.487299
6,5426,Solana,SOL,solana,541,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain']",,420089026.87761706,561772037.8754092,True,,7,,,,2023-11-06T13:48:00.000Z,40.074123960596914,903167400.8428597,-0.4357,-1.09317982,-3.35361632,14.84371155,70.97344221,105.70819325,72.32380486,16834699737.580154,1.2701,22512522283.42,,2023-11-06T13:48:00.000Z,,,,,,2023-11-06 05:48:43.487299
7,2010,Cardano,ADA,cardano,959,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35258617435.788,36320189326.908,False,,8,,,,2023-11-06T13:47:00.000Z,0.35442265829573905,334249923.5753584,38.2095,-0.06014449,3.65736327,17.81525709,37.05342145,39.44038132,20.85592959,12496452919.424479,0.9428,15949019623.31,,2023-11-06T13:47:00.000Z,,,,,,2023-11-06 05:48:43.487299
8,74,Dogecoin,DOGE,dogecoin,820,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141718506383.70526,141718506383.70526,True,,9,,,,2023-11-06T13:48:00.000Z,0.07241986414937944,482967388.01617527,50.4505,-1.29901488,2.17787368,3.48939245,18.04964252,14.82048799,-1.94339794,10263234979.760899,0.7743,10263234979.76,,2023-11-06T13:48:00.000Z,,,,,,2023-11-06 05:48:43.487299
9,1958,TRON,TRX,tron,861,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88746821726.52315,88746829738.86899,True,,10,71659659264.0,7056664386.3818865,,2023-11-06T13:47:00.000Z,0.09847471309324207,208182325.7553523,38.4832,0.71725763,-0.2414617,3.3166844,11.62394539,24.78287072,28.5454323,8739317807.456469,0.6585,8739318596.47,,2023-11-06T13:47:00.000Z,,,,,,2023-11-06 05:48:43.487299
